,L_1_values,L_inf_values
223,4.485664657583959e-05,2.1022111069553115e-06
224,4.4370104974796065e-05,2.087961313602247e-06
225,4.452511514362546e-05,2.1631801424169105e-06
226,4.56640648653191e-05,2.2325536151079815e-06
227,4.486883027038734e-05,2.1704477768733004e-06
228,4.435928541012941e-05,2.1025231865426193e-06
229,4.577883126454946e-05,2.245229329908032e-06
230,4.480935587945695e-05,2.1628134016815846e-06
231,4.471997313685528e-05,2.1670109942646174e-06
232,4.470784376007186e-05,2.186486830537042e-06
233,4.4998525697356494e-05,2.1754973851859694e-06
234,4.5659230123151754e-05,2.2318911687955303e-06
235,4.4866271695827824e-05,2.1845384159178412e-06
236,4.5557979974426624e-05,2.2303870482994968e-06
237,4.4955901586384684e-05,2.1176109406805153e-06
238,4.480991803001003e-05,2.1504720672773114e-06
239,4.540234636033735e-05,2.223000638715346e-06
240,4.4779483378314405e-05,2.1910936864427194e-06
241,4.564935625562586e-05,2.2360863256862364e-06
242,4.4804735248373286e-05,2.1781596130868824e-06
243,4.556499750815554e-05,2.275177422071824e-06
244,4.438005471679102e-05,2.124683362921856e-06
245,4.459718624471949e-05,2.1558657164571857e-06
246,4.4107194196264554e-05,2.1270094230956026e-06
247,4.4629371245455305e-05,2.171855816271174e-06
248,4.477998761983612e-05,2.1513094982853336e-06
249,4.4641043995442396e-05,2.0913083197454347e-06
250,4.555413210021439e-05,2.223150757577475e-06
251,4.517543015203029e-05,2.1917621510984637e-06
252,4.58799571918336e-05,2.278111362427223e-06
253,4.480906512714459e-05,2.1497100621044284e-06
254,4.483878319794761e-05,2.1310626382040854e-06
255,4.4747840924414796e-05,2.1703959011476144e-06
256,4.474937054174547e-05,2.1918384365438146e-06
257,4.505609232661295e-05,2.193617998014367e-06
258,4.4113937843308936e-05,2.1422585601227802e-06
259,4.4003863788221064e-05,2.1376875073931605e-06
260,4.540056430319487e-05,2.22432977984325e-06
261,4.5203059270066266e-05,2.2124638596764933e-06
262,4.435915956195002e-05,2.1033896181664965e-06
263,4.564772970658723e-05,2.232710868880858e-06
264,4.45959761388354e-05,2.159115205906969e-06
265,4.4554688531660805e-05,2.1054577111431448e-06
266,4.512103698868011e-05,2.203377445349014e-06
267,4.50602630541696e-05,2.1997072073829206e-06
268,4.444181319040499e-05,2.099109144988502e-06
269,4.484901899665963e-05,2.116479984279173e-06
270,4.4966053897088035e-05,2.140283787556473e-06
271,4.549548720426203e-05,2.238493304207689e-06
