,L_1_values,L_inf_values
49,2.3683542803406738e-05,7.356169720452641e-07
50,2.3678482825996363e-05,7.375367951875508e-07
51,2.369338089586715e-05,7.415952182936155e-07
52,2.3708285961980645e-05,7.456387316905776e-07
53,2.3677405341100742e-05,7.409271224241872e-07
54,2.3684983779472127e-05,7.426449379270845e-07
55,2.3679315860035394e-05,7.425474528785212e-07
56,2.367120146902116e-05,7.357942779578216e-07
57,2.367538808614701e-05,7.366849710370211e-07
58,2.368449315940041e-05,7.382794651258866e-07
59,2.3619927249008653e-05,7.315315186000702e-07
60,2.3604733768327413e-05,7.317933893316667e-07
61,2.361372820445041e-05,7.317524131826106e-07
62,2.3606115145394583e-05,7.314872246111503e-07
63,2.3610066122728653e-05,7.31556573229323e-07
64,2.3605101992436718e-05,7.316025810288989e-07
65,2.360976551263242e-05,7.317174686597865e-07
66,2.3605558292367064e-05,7.320676085223385e-07
67,2.3611686667276816e-05,7.318917521491255e-07
68,2.362603496474443e-05,7.354916444079808e-07
69,2.3633896508509355e-05,7.358645327862707e-07
70,2.3624792553019496e-05,7.333704103603698e-07
71,2.362141496948089e-05,7.334843477533061e-07
72,2.3622430396625805e-05,7.335825347091932e-07
73,2.3617714191845293e-05,7.317973827081199e-07
74,2.361674308568317e-05,7.275515379204727e-07
75,2.3619400517150026e-05,7.273971553276569e-07
76,2.3618143883711528e-05,7.256989640079059e-07
77,2.3626998779305352e-05,7.254685543751756e-07
78,2.363218178268231e-05,7.273670564377347e-07
79,2.364149456945476e-05,7.305993851965125e-07
80,2.364952695327569e-05,7.289667582966022e-07
81,2.3671142493726885e-05,7.387945593591198e-07
82,2.36721509267317e-05,7.421984551671478e-07
83,2.3684758337736708e-05,7.435651433268914e-07
84,2.368625417704613e-05,7.4394113200498e-07
85,2.3703189517810336e-05,7.431654641578192e-07
86,2.3688168779083026e-05,7.429556249217627e-07
87,2.367065408493521e-05,7.360057250281178e-07
88,2.3675362827840512e-05,7.360461848910194e-07
89,2.36752146713767e-05,7.360494644092619e-07
90,2.3690273275054965e-05,7.391485094294931e-07
91,2.3683883873181754e-05,7.390036212860586e-07
92,2.367579774086076e-05,7.402027832518447e-07
93,2.3666051927236298e-05,7.406740490484161e-07
94,2.3665095233254833e-05,7.400991159813116e-07
95,2.366111782641156e-05,7.39899889880829e-07
96,2.3665620321957776e-05,7.399581009132724e-07
97,2.3671534074345296e-05,7.40068519317527e-07
98,2.3663397748228654e-05,7.402225761840449e-07
99,2.3656772259543618e-05,7.401126689819506e-07
100,2.3658931253032102e-05,7.399435319075127e-07
101,2.3651753055625573e-05,7.385263947237249e-07
102,2.3607848119247222e-05,7.34318959339222e-07
103,2.3598484337988146e-05,7.31230502717086e-07
104,2.359848382272465e-05,7.303710129124841e-07
105,2.3603603132875157e-05,7.283574019028139e-07
106,2.3589735093123505e-05,7.312140793821319e-07
107,2.3620386946980982e-05,7.308971585919195e-07
108,2.3619991177992535e-05,7.297287374595123e-07
109,2.361461154801415e-05,7.291262565224888e-07
110,2.3597232346939138e-05,7.270132319826127e-07
111,2.3594137470460808e-05,7.25074337772038e-07
112,2.3574785493285408e-05,7.233117131862574e-07
113,2.355579750335948e-05,7.110636826688791e-07
114,2.3552747051261937e-05,7.037916623214689e-07
115,2.3552223423041892e-05,7.0405277137924e-07
116,2.3541848371378577e-05,7.039445667193167e-07
117,2.353395311739061e-05,7.034578465257202e-07
118,2.3497313044595145e-05,6.913544843811897e-07
119,2.3494820902001895e-05,6.863977757199619e-07
120,2.3489432190304627e-05,6.844399425978105e-07
121,2.3501932009249407e-05,6.866251735270384e-07
122,2.3515167172093593e-05,6.888636227304124e-07
123,2.351922752621641e-05,6.902153541291117e-07
124,2.351534718807648e-05,6.901018059957195e-07
125,2.3506726728538917e-05,6.883591972355778e-07
126,2.3507467360709297e-05,6.886436700615173e-07
127,2.351062434803957e-05,6.887673759742446e-07
128,2.352284884767998e-05,6.912329373846408e-07
129,2.3527980742018146e-05,6.915473513104033e-07
130,2.3523572388687908e-05,6.914546562882046e-07
131,2.2613865592442522e-05,5.945362440262874e-07
132,2.2581866368988838e-05,5.893713971996306e-07
133,2.2565002156317342e-05,5.87757451183987e-07
134,2.257345115664783e-05,5.876920576804595e-07
135,2.2580795078144755e-05,5.895276951093251e-07
136,2.2573064044641127e-05,5.881355685319526e-07
137,2.256886598172768e-05,5.871645974377266e-07
138,2.256430927162358e-05,5.860799157376491e-07
139,2.255728099376249e-05,5.85733436421431e-07
140,2.2553650995507686e-05,5.878809517148263e-07
141,2.2551868492225766e-05,5.872466279985383e-07
142,2.255410686200011e-05,5.875510668636893e-07
143,2.2551059099599155e-05,5.879008677145161e-07
144,2.256413087652448e-05,5.879441055896723e-07
145,2.256393897883474e-05,5.879953449321117e-07
146,2.257600139206064e-05,5.876923424378888e-07
147,2.258662374010243e-05,5.881096281026512e-07
148,2.2569346616394885e-05,5.877369733399165e-07
149,2.2578024451616756e-05,5.875311802791998e-07
150,2.2566041116883448e-05,5.835182103445537e-07
151,2.254336183597939e-05,5.835130835848556e-07
152,2.2541557598802295e-05,5.833146948635985e-07
153,2.2540890315373286e-05,5.912649627797153e-07
154,2.256044271173674e-05,5.972184937480843e-07
155,2.2576998181513044e-05,5.972909518002379e-07
156,2.257524631665671e-05,5.971580086428719e-07
157,2.2549472775233188e-05,5.965889253548923e-07
158,2.2543462526634506e-05,5.970427668952112e-07
159,2.2518314984159707e-05,5.963064765568529e-07
160,2.251197233700627e-05,5.940729919596298e-07
161,2.2498746968381775e-05,5.928960761477442e-07
162,2.251130319771362e-05,5.923365536409847e-07
163,2.2494800214746495e-05,5.903965990763257e-07
164,2.248103889396331e-05,5.886136150388819e-07
165,2.2491728594972934e-05,5.885727054543444e-07
166,2.2478968729690822e-05,5.884067141635974e-07
167,2.2479534728116393e-05,5.884481294365419e-07
168,2.2484384949983477e-05,5.888309476912271e-07
169,2.2469724914756943e-05,5.890367732740356e-07
170,2.247612241928745e-05,5.891789758905745e-07
171,2.2477479947969373e-05,5.887362929237351e-07
172,2.2471036588118374e-05,5.887777782691708e-07
173,2.2463645420830782e-05,5.889790132673268e-07
174,2.2464624287236185e-05,5.891290120606473e-07
175,2.2466145501285812e-05,5.892900986784165e-07
176,2.2470729133779927e-05,5.892477221957522e-07
177,2.246437669509865e-05,5.904120237291721e-07
178,2.2471588026926694e-05,5.913156660019419e-07
179,2.246491058918198e-05,5.929240007748315e-07
180,2.246330376523801e-05,5.926450616715539e-07
181,2.2486708283600652e-05,5.915738300441039e-07
182,2.2493502136530682e-05,5.939341097653319e-07
183,2.2498677890837025e-05,5.939165237611195e-07
184,2.2508178895007046e-05,5.979479512494146e-07
185,2.251077541574325e-05,5.978168833498508e-07
186,2.251589422693826e-05,5.982257867363924e-07
187,2.250971696318702e-05,5.965876697326068e-07
188,2.2457885906404942e-05,5.94297310496104e-07
189,2.2470549981228606e-05,5.968958571821543e-07
190,2.2433193258527268e-05,5.797475673003477e-07
191,2.2416853251063222e-05,5.780715058190147e-07
192,2.2425005329360765e-05,5.80243767720288e-07
193,2.2429231066692074e-05,5.803137424408098e-07
194,2.24413628592615e-05,5.801443244794088e-07
195,2.2449248660683574e-05,5.802859276527461e-07
196,2.2121985239342998e-05,5.484964040331698e-07
197,2.2114579151391746e-05,5.463589448531499e-07
198,2.211896340650375e-05,5.463043888296946e-07
199,2.2123460371225135e-05,5.46383483966135e-07
200,2.212636240980169e-05,5.464852301189562e-07
201,2.2125421668155812e-05,5.465711821379654e-07
202,2.212195496220348e-05,5.467316249258669e-07
203,2.2107875985297968e-05,5.466761721768551e-07
204,2.2094261221980945e-05,5.44974795591251e-07
205,2.2091234966519856e-05,5.431556809546683e-07
206,2.2096751413554473e-05,5.376490736487114e-07
207,2.2092532440750213e-05,5.376091219194849e-07
208,2.2090187098177815e-05,5.370474748876416e-07
209,2.208913302852789e-05,5.369953388645715e-07
210,2.209218661163591e-05,5.368470917003975e-07
211,2.209083936724248e-05,5.352192718990362e-07
212,2.2084792778226286e-05,5.356003153183632e-07
213,2.2084812031967445e-05,5.358861157545682e-07
214,2.2088251681837446e-05,5.360781983386401e-07
215,2.2090926592907308e-05,5.36530434523673e-07
216,2.2080351209640677e-05,5.367605915159256e-07
217,2.2062706609677237e-05,5.363938365762354e-07
218,2.2054174804857224e-05,5.375034411187867e-07
219,2.20505438524323e-05,5.36099934644342e-07
220,2.2065779276377293e-05,5.352390278142398e-07
221,2.2071842885399253e-05,5.353087998988113e-07
222,2.2069382038218377e-05,5.35415713455523e-07
223,2.2068788993637882e-05,5.361302555679517e-07
224,2.207384557173116e-05,5.365883260641198e-07
